,RCHRG_DT,Subscriber_ID,RCHRG_DNM_TYP_VAL,FRST_RCHRG_TME,LST_RCHRG_TME,RCHRG_PP_CRD_CHNL,MIN_RCHRG_AMT,MAX_RCHRG_AMT,TOTAL_RCHRG_AMT,ACTL_RCHRG_AMT,TOTAL_NMBR_OF_RCHRG_CNT,UNIT_OF_MSR
1,12-Jan-19,882,15,0:15:37,0:15:37,PHYSICAL,15.24,15.24,15.24,15,1,SAR
2,2-Jan-19,934,15,12:33:00,12:33:00,PHYSICAL,15.24,15.24,15.24,15,1,SAR
3,9-Jan-19,316,15,15:45:01,15:45:01,PHYSICAL,15.24,15.24,15.24,15,1,SAR
4,5-Jan-19,125,15,22:35:24,22:35:24,PHYSICAL,15,15,15,15,1,SAR
5,10-Jan-19,169,20,12:19:15,12:19:15,PHYSICAL,20,20,20,20,1,SAR
6,19-Jan-19,524,50,13:03:06,13:03:06,PHYSICAL,50,50,50,50,1,SAR
7,6-Jan-19,267,15,14:32:20,14:32:20,PHYSICAL,15.24,15.24,15.24,15,1,SAR
8,19-Jan-19,301,20,22:08:39,22:08:39,PHYSICAL,20,20,20,20,1,SAR
9,2-Jan-19,928,15,23:35:17,23:35:17,PHYSICAL,15.24,15.24,15.24,15,1,SAR
10,7-Feb-19,753,15,15:56:17,15:56:17,PHYSICAL,15.24,15.24,15.24,15,1,SAR
11,13-Jan-19,882,30,10:10:06,10:10:06,PHYSICAL,30,30,30,30,1,SAR
12,13-Feb-19,547,100,13:22:26,13:22:26,PHYSICAL,100,100,100,100,1,SAR
13,5-Jan-19,499,15,22:47:33,22:47:33,PHYSICAL,15,15,15,15,1,SAR
14,12-Feb-19,804,15,8:46:54,8:46:54,PHYSICAL,15.24,15.24,15.24,15,1,SAR
15,25-Jan-19,69,15,19:39:58,19:39:58,PHYSICAL,15.24,15.24,15.24,15,1,SAR
16,9-Jan-19,134,0,3:31:54,3:31:54,PHYSICAL,0,0,0,0,1,SAR
17,10-Jan-19,753,20,3:59:52,3:59:52,PHYSICAL,20,20,20,20,1,SAR
18,13-Jan-19,496,15,22:41:49,22:41:49,PHYSICAL,15.24,15.24,15.24,15,1,SAR
19,5-Jan-19,82,50,17:36:53,17:36:53,PHYSICAL,50,50,50,50,1,SAR
20,8-Jan-19,566,20,17:01:05,17:01:05,PHYSICAL,20,20,20,20,1,SAR
21,14-Jan-19,641,15,23:22:05,23:22:05,PHYSICAL,15.24,15.24,15.24,15,1,SAR
22,4-Jan-19,810,50,11:38:00,11:38:00,PHYSICAL,50,50,50,50,1,SAR
23,24-Jan-19,984,20,7:48:20,7:48:20,PHYSICAL,20,20,20,20,1,SAR
24,14-Jan-19,984,20,14:47:52,14:47:52,PHYSICAL,20,20,20,20,1,SAR
25,8-Jan-19,121,15,12:32:12,12:32:12,PHYSICAL,15.24,15.24,15.24,15,1,SAR
26,2-Jan-19,195,-99999,22:32:57,22:32:57,PHYSICAL,-10.5,-10.5,-10.5,,1,SAR
27,27-Jan-19,984,20,8:13:13,8:13:13,PHYSICAL,20,20,20,20,1,SAR
28,30-Jan-19,684,20,18:54:35,18:54:35,PHYSICAL,20,20,20,20,1,SAR
29,5-Jan-19,907,15,17:28:12,17:28:12,PHYSICAL,15.24,15.24,15.24,15,1,SAR
30,18-Jan-19,827,25,17:41:54,17:41:54,ELECTRONIC,25,25,25,25,1,SAR
31,4-Feb-19,779,15,7:26:45,7:26:45,PHYSICAL,15.24,15.24,15.24,15,1,SAR
32,5-Jan-19,264,50,20:00:14,20:02:24,PHYSICAL,50,50,100,100,2,SAR
33,15-Jan-19,937,100,7:36:40,7:36:40,PHYSICAL,100,100,100,100,1,SAR
34,12-Jan-19,307,20,22:59:25,22:59:25,PHYSICAL,20,20,20,20,1,SAR
35,10-Jan-19,703,0,3:30:59,3:30:59,PHYSICAL,0,0,0,0,1,SAR
